WARNING 2025-11-30 18:55:54,987 middleware 7496 15960 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.15s
WARNING 2025-11-30 18:56:08,150 middleware 7496 15960 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.10s
WARNING 2025-11-30 18:57:31,669 middleware 7496 15960 High query count: GET /dealer/cashiers/reports/ executed 12 queries in 0.16s
WARNING 2025-11-30 18:57:35,079 middleware 7496 15960 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.05s
WARNING 2025-11-30 18:57:51,357 middleware 7496 15960 High query count: GET /dealer/cashiers/reports/ executed 12 queries in 0.06s
WARNING 2025-11-30 18:58:13,757 middleware 7496 15960 Slow request: POST /login/ took 4.89s with 7 queries
WARNING 2025-12-01 20:53:11,329 middleware 9788 9912 Slow request: POST /login/ took 2.07s with 7 queries
WARNING 2025-12-01 20:53:37,122 middleware 9788 9912 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.05s
WARNING 2025-12-01 20:53:53,175 middleware 9788 9912 Slow request: POST /login/ took 2.09s with 7 queries
WARNING 2025-12-01 20:54:01,631 middleware 9788 9912 High query count: GET /dealer/reports/ executed 11 queries in 0.04s
WARNING 2025-12-01 20:56:05,460 middleware 9788 22568 Slow request: POST /login/ took 2.10s with 7 queries
WARNING 2025-12-01 21:01:10,637 middleware 9788 16192 Slow request: POST /login/ took 1.87s with 7 queries
WARNING 2025-12-01 21:14:47,417 middleware 9788 20436 Slow request: POST /login/ took 2.11s with 7 queries
WARNING 2025-12-01 21:23:52,269 middleware 9788 4520 Slow request: POST /login/ took 1.98s with 7 queries
WARNING 2025-12-01 21:23:59,121 middleware 9788 18984 High query count: GET /cashier/reports/monthly/ executed 43 queries in 0.08s
WARNING 2025-12-01 21:24:00,973 middleware 9788 18984 High query count: GET /cashier/reports/daily/ executed 12 queries in 0.04s
WARNING 2025-12-01 21:28:08,029 middleware 9788 20948 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.04s
WARNING 2025-12-01 21:37:43,137 middleware 9788 23576 Slow request: POST /login/ took 1.86s with 7 queries
WARNING 2025-12-01 21:40:42,146 middleware 9788 3468 High query count: GET /cashier/reports/daily/ executed 12 queries in 0.03s
WARNING 2025-12-01 21:40:46,357 middleware 9788 3468 High query count: GET /cashier/reports/daily/ executed 12 queries in 0.02s
WARNING 2025-12-01 21:40:49,735 middleware 9788 3468 High query count: GET /cashier/reports/daily/ executed 12 queries in 0.02s
WARNING 2025-12-01 21:40:52,542 middleware 9788 3468 High query count: GET /cashier/reports/daily/ executed 12 queries in 0.03s
WARNING 2025-12-01 21:41:53,545 middleware 9788 3468 High query count: GET /cashier/reports/daily/ executed 12 queries in 0.03s
WARNING 2025-12-03 12:39:32,176 middleware 8428 18348 High query count: GET /dealer/cashiers/reports/ executed 12 queries in 0.03s
WARNING 2025-12-03 12:41:26,067 middleware 8428 18348 High query count: GET /dealer/cashiers/reports/ executed 12 queries in 0.01s
WARNING 2025-12-03 12:41:39,453 middleware 8428 18348 High query count: GET /dealer/reports/ executed 11 queries in 0.05s
WARNING 2025-12-03 12:41:47,969 middleware 8428 18348 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.03s
WARNING 2025-12-03 12:46:09,921 middleware 8428 18348 High query count: GET /dealer/reports/ executed 11 queries in 0.01s
WARNING 2025-12-03 12:46:44,277 middleware 8428 18348 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.02s
WARNING 2025-12-03 12:47:28,339 middleware 8428 18348 High query count: GET /dealer/reports/stock/ executed 27 queries in 0.04s
WARNING 2025-12-03 12:48:00,257 middleware 8428 18348 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.02s
WARNING 2025-12-03 12:48:02,839 middleware 8428 18348 High query count: GET /dealer/reports/stock/ executed 27 queries in 0.01s
WARNING 2025-12-03 12:48:44,097 middleware 8428 18348 High query count: GET /dealer/cashiers/reports/ executed 12 queries in 0.02s
WARNING 2025-12-03 12:49:03,488 middleware 8428 18348 High query count: GET /dealer/reports/ executed 11 queries in 0.02s
